embedding_text,category
kiri creamy spread cheese m Kiri 150g,Dairy & Eggs
al watania hot breaded chicken fillet snitchel Watania 1kg,Poultry
جيفركس قلقاس 5جم جيفركس,Vegetables & Fruits
top value frozen whole chicken 1000 Top 1100g,Poultry
halwani shish tawook Shish 400g,Poultry
شويبس جولد شويبس 1لتر,Soft Drinks & Juices
وراك فراخ وراك,Poultry
ترمس قلب زجاج ترمس 1لتر,Furniture
جلاسى رشاش غيار جلاسى 600مل,Cleaning Supplies
ترايدنت لبان 50 ترايدنت,"Chocolates, Sweets & Desserts"
ينسون صحيح ينسون 50جم,"Tea, Coffee & Hot Drinks"
1 307 س بابا غنوج المتين 043 350 3.07,"Tins, Jars & Packets"
سبع بهارات سبع,Cooking Ingredients
miner water Miner,Water
sunbulah puff pastry squares m Puff 400G,Bakery
بوبز فشار ميكرويف بوبز,Chips & Crackers
حلوانى سلامى جاف 1ك حلوانى,Beef & Processed Meat
choice balsamic vinegar m Choice 250g,"Sauces, Dressings & Condiments"
avocado el nour Avocado,Vegetables & Fruits
سما سمبوسك ساده باكت 3ق سما,Bakery
المهندس خل خلطه سلطه زجاجه المهندس 1لتر,Cooking Ingredients
giardino vinegar iter Giardino 1L,"Sauces, Dressings & Condiments"
صن شاين تونه قطعه واحده 185 صن,"Tins, Jars & Packets"
دايم بانيه حار دايم 1كجم,Poultry
dasani mineral water Dasani,Water
rich bake bread crumbs m Rich 250g,Bakery
اللوتس بيض احمر اللوتس,Dairy & Eggs
شيبسي شيبسي 5ج,Chips & Crackers
ـامى صوص باربكيو بزاز ١٥٠٠٠ ١٠٠٠ ١٥٠٠ ـامى ٢٦٥مل,"Sauces, Dressings & Condiments"
nido milk powder fortigrow Nido 450g,Dairy & Eggs
لحم بقرى مفروم لحم,Beef & Processed Meat
ستريبس دجاج حار من حلواني ستريبس 1كجم,Poultry
1900 950 2 potatoes 19.00 1kg,Vegetables & Fruits
al doha thyme shaker r Doha 20G,Cooking Ingredients
ريد اكوا مبيد حشرات طائره ريد 300مل,Cleaning Supplies
دريا ارز بسمتى فاخر ذهبى دريا 1كجم,"Rice, Pasta & Pulses"
بليدج ملمع موبيليا لي ويندكس رشاش لي بليدج 300مل,Cleaning Supplies
الملكة مكرونة اسباجيتى الملكة 400جم,"Rice, Pasta & Pulses"
ميرندا تفاح اخضر كانز ميرندا 330مل,Soft Drinks & Juices
تونة دايت فاتح روز تونة 200جم,"Tins, Jars & Packets"
كوكي اجنحة دجاج كرانشي بارد، رام كوكي 700ج,Poultry
رجينا مكرونه 1ك رجينا,"Rice, Pasta & Pulses"
فانتا توب مشروب غازي فانتا,Soft Drinks & Juices
هارفست خل ابيض طبيعي ، هارفست 1لتر,"Sauces, Dressings & Condiments"
لبنيتا حليب كامل 1600 1 1600 لبنيتا,Dairy & Eggs
هلا زيت عباد الشمس 500م هلا,Cooking Ingredients
raw kettle cooked potato chips sea salt and balsamic vinegar ram Raw 95g,Chips & Crackers
كلوركس الوان زهور كلوركس 1لتر,Cleaning Supplies
خيار صوب 0720 65 468 خيار,Vegetables & Fruits
basak mushroom cream soup Basak 60G,"Tins, Jars & Packets"
بهارات لحمه بهارات,Cooking Ingredients
كيري لبنة كريمي عرض كيري 350جم,Dairy & Eggs
belgian seashells vanilla 195G 195G,"Chocolates, Sweets & Desserts"
جل اتوماتيك برسيل لافندر ٢٦٥ 0 جل,Cleaning Supplies
ليون شيبسي بالملح والخل 42 ليون 52جم,Chips & Crackers
شهى ارز ذهبى شهى 1كجم,"Rice, Pasta & Pulses"
funday cake milk m Funday 32g,Biscuits & Cakes
الفتح كاليفورنيا تونه دايت س الفتح,"Tins, Jars & Packets"
ahlawy wafer chocolate Wafer,Biscuits & Cakes
ريجينا مكرونه لسان عصفور 1ك ريجينا,"Rice, Pasta & Pulses"
شيبسي رو ملح شيبسي,Chips & Crackers
schweppes species 31 free Schweppes 1L,Soft Drinks & Juices
زيتون مفروم اخضر اوليفيتا بالوزن زيتون,"Tins, Jars & Packets"
herman ketchup Herman 567G,"Sauces, Dressings & Condiments"
green tea drink with ginger and cinnamon Green,"Tea, Coffee & Hot Drinks"
بونجورنو كوفى ميكس علبه 12 بونجورنو 12جم,"Tea, Coffee & Hot Drinks"
شيتوس بافس شيتوس 2ج,Chips & Crackers
cucumber belco Cucumber 500g,Vegetables & Fruits
كاليفورنيا شرائح تونه دوار كاليفورنيا,"Tins, Jars & Packets"
بريل جنرال هديه بريل 2.5لتر,Cleaning Supplies
تونة امريكانا دايت تونة 170ج,"Tins, Jars & Packets"
بركه مياه 600م 20 بركه,Water
كاتشب بريميوم ميرو رام كاتشب 340ج,"Sauces, Dressings & Condiments"
احمد شاى قرنفل 25 ف احمد,"Tea, Coffee & Hot Drinks"
persil detergent lavender offer Detergent 2kg,Cleaning Supplies
كلوركس جبيل كلوركس 750مل,Cleaning Supplies
ديتول سائل مطهر 2200 1 2200 ديتول ١٢٠مل,Cleaning Supplies
بنسون حلوى بنسون,"Chocolates, Sweets & Desserts"
نستله جالون غيار نستله 18.900لتر,Water
لانشون حلواني سادة لانشون,Beef & Processed Meat
علبه مخلل صغير علبه,"Tins, Jars & Packets"
carry cot red Carry,Vegetables & Fruits
هاينز صويا صوص بريمي 150م فاتح هاينز,"Sauces, Dressings & Condiments"
طحينه طحينه,"Sauces, Dressings & Condiments"
بيبسى كانز بيبسى,Soft Drinks & Juices
كادبورى بابلى شيكولاته داير ميلك كادبورى 40جم,"Chocolates, Sweets & Desserts"
fabric softener relaxing blue scent Fabric 750ml,Cleaning Supplies
galaxy minis hazelnut chocolate mini bar Minis 150g,"Chocolates, Sweets & Desserts"
شيبسي عائلي ملح شيبسي,Chips & Crackers
دوبيلا شراب حليب جوز الهند بالبطيخ دوبيلا 290مل,Dairy & Eggs
hayat water itre Hayat 1.5L,Water
بيك رولز ميكس جبن بيك,Chips & Crackers
بيبسى دايت كانز بيبسى,Soft Drinks & Juices
الخير ملح الخير 300جم,Cooking Ingredients
كيت كات بكريمة لوتس كيت 41.5جم,"Chocolates, Sweets & Desserts"
هاينز بيتي صوص ملح وفلفل هاينز,"Sauces, Dressings & Condiments"
faragello beef burger 15p Beef,Beef & Processed Meat
مكرونه شعريه الدوحه مكرونه,"Rice, Pasta & Pulses"
بريد واي خبز سوبر رول بريد,Bakery
مياه باسانى مياه,Water
بيبسي كانز بيبسي,Soft Drinks & Juices
حليب بودرة ميرو ميكس بالفانيليا والبسكويت، حليب 30جم عبوة,Dairy & Eggs
atyab orintal sausages m Atyab 350G,Beef & Processed Meat
بافس كونو بالفلفل الحلو بافس 25جم,Chips & Crackers
المتحده فيليه فريش المتحده 400جم,Poultry
لبن جاموسى كامل ١ ٢١٧٥ ١ ٢١٧٥ لبن,Dairy & Eggs
حليب جهينة كامل 1700 1000 1700 حليب 1لتر,Dairy & Eggs
زجاجه مياه 600 م دساني زجاجه,Water
dina farms coffee shake coffee flavored milk Dina 250ml,"Tea, Coffee & Hot Drinks"
mcvities digestive wheat biscuit 12 x Mcvities 29.4g,Biscuits & Cakes
atyab fun shape chicken nuggets Atyab 400g,Poultry
biscato jolly butter biscuit Biscato 140g,Biscuits & Cakes
عنب كرمسون احمر عنب,Vegetables & Fruits
اوسكار عصير برتقال اوسكار 330مل,Soft Drinks & Juices
الضحى ارز الضحى 1كجم,"Rice, Pasta & Pulses"
درة كاتشب طماطم بارد، رام درة 750ج,"Sauces, Dressings & Condiments"
هاينز خل زجاجه هاينز 1لتر,Cooking Ingredients
كلورتس لبان اخضر كلورتس,"Chocolates, Sweets & Desserts"
ايزيس مياه طبيعية ايزيس 600مل,Water
هاينز كاتشب طماطم بارد هاينز 340جم,"Sauces, Dressings & Condiments"
شيف سيكريت صلصه طماطم شيف 300جم,"Tins, Jars & Packets"
مكرونة خواتم سيمولينا إيطالية مكرونة,"Rice, Pasta & Pulses"
raw sweet chill chips Raw 57g,Chips & Crackers
shahy crushed beansm Shahy 500G,"Rice, Pasta & Pulses"
تمري فريش شيش طاووك تمري 1كجم,Poultry
6443 كبدة دجاج طازج 64.43,Poultry
beyti mango juice iter Beyti 1l,Soft Drinks & Juices
ويفر كونافيتو بنكهة كريمة الحليب من روشين رام ويفر 140ج,Biscuits & Cakes
اطياب بيف برجر 20ق 1ك اطياب,Beef & Processed Meat
kikkoman sriracha hot chili sauce Kikkoman 300g,"Sauces, Dressings & Condiments"
شيف سيكريت صلصة طماطم شيف 300جم,"Tins, Jars & Packets"
كيكه هوهوز شوكلاته كيكه,Biscuits & Cakes
فيرى الترا سائل للاطباق اوريجينال 450م فيرى,Cleaning Supplies
ثوم بودره ثوم,Cooking Ingredients
لواكر نوازيت بالبندق لواكر 100جم,Biscuits & Cakes
dasani water Dasani 11.5l,Water
كلوريل مبيض 2 في 1، ليمون كلوريل 4لتر,Cleaning Supplies
فيشرمان سلطة تونة بالمايونيز فيشرمان 230جم,"Tins, Jars & Packets"
bake stix wheat snacks cheese Bake 36g,Chips & Crackers
بيتى عصير اناناس بيتى 1لتر,Soft Drinks & Juices
ايس كريم علبه ايس 5ج,"Chocolates, Sweets & Desserts"
باب الشام خلطة دجاج مقلي عادي باب 100جم,Cooking Ingredients
fusilli pasta Pasta 1kg,"Rice, Pasta & Pulses"
كيزر دومتي برجر 4قطع كيزر,Bakery
دايجستف بسكويت قمح دايجستف,Biscuits & Cakes
جبنه فلمنك مزارع دينا 1ك جبنه,Dairy & Eggs
سمن نباتي سمن 650جم,Cooking Ingredients
اولكر بسكريم كوكيز كريمه بكاكاو اولكر 120ج,Biscuits & Cakes
فانتا مش توت بلاستيك فانتا 1لتر,Soft Drinks & Juices
lamar pineapple juice iter s Juice 1l,Soft Drinks & Juices
diatoasta minigrill toast Diatoasta 225G,Bakery
لبان سبوت قرفه رام لبان 23ج,"Chocolates, Sweets & Desserts"
juhayna full cream milk Juhayna 200ml,Dairy & Eggs
kikkoman less sodium soy sauce Kikkoman 148ml,"Sauces, Dressings & Condiments"
قمر مشروم شرائح 1 5575 5575 قمر 800جم,"Tins, Jars & Packets"
bekhero juice mango Bekhero 200ml,Soft Drinks & Juices
بريزيدن لبنة تركية بريزيدن 180جم,Dairy & Eggs
ريتش بيك خبز توست ناشف ريتش,Bakery
katilo istanbuli cheese m Cheese 250g,Dairy & Eggs
كمارا كيك فراوله كمارا,Biscuits & Cakes
ثوم بودرة من باب الشام ثوم 50جم,Cooking Ingredients
excellence excellence 70 dark chocolate bar m 70% 100g,"Chocolates, Sweets & Desserts"
سبرايت بلاستيك سبرايت 300مل,Soft Drinks & Juices
بقسماط مطحون برنش بقسماط 500جم,Bakery
choice classic grand cafe ram Choice 50G,"Tea, Coffee & Hot Drinks"
rich turkey lobe Rich,Poultry
العبد علبه المولد رقم 7 العبد,Sweets & Desserts
1845 العروسه شاى 50 18.45,"Tea, Coffee & Hot Drinks"
سكويز عصير ليمون سكويز 1لتر,Soft Drinks & Juices
سن توب عصير برتقل سن,Soft Drinks & Juices
lindt excellence caramel with a touch of sea salt dark chocolate m With 100g,"Chocolates, Sweets & Desserts"
علبه 12 قلم جاف تركى ازرق علبه,Stationary
لانشون لحيمى لانشون 525جم,Beef & Processed Meat
خبز ريتش بيك توست الردة خبز 500جم,Bakery
جهينه عثير بيور تفاح جهينه 1لتر,Soft Drinks & Juices
حليب كامل الدسم المراعى عرض حليب,Dairy & Eggs
بيبسى كانز جيب بيبسى 250مل,Soft Drinks & Juices
safi water 330m Safi,Water
برسيل جيل 100 9000 9000 برسيل,Cleaning Supplies
خيار صو خيار,Vegetables & Fruits
جهينه عصير بيور جهينه 1لتر,Soft Drinks & Juices
كمون مطحون وزن كمون,Cooking Ingredients
biscato joly butter biscuit rams Biscato 140g,Biscuits & Cakes
roshen wafers hazelnut Roshen 72g,Biscuits & Cakes
الدنيا بخير سلطه تونه الدنيا,"Tins, Jars & Packets"
فرسكا بلوك بندق فرسكا,Biscuits & Cakes
elano natural drinking water Drinking 600ml,Water
puvana mineral water Puvana,Water
trapa stevia milk chocolate hazelnut m Trapa 75g,"Chocolates, Sweets & Desserts"
جلاش اساور فستق جلاش,"Chocolates, Sweets & Desserts"
اينكونا صوص فلفل حلو 142م اينكونا,"Sauces, Dressings & Condiments"
برافو شيبسى فراخ شوايه برافو,Chips & Crackers
نسكافيه نسكافيه 100ج,"Tea, Coffee & Hot Drinks"
36000 شوربة فراخ كريم 20 36.000,"Tins, Jars & Packets"
california garden canned mushrooms pieces stems Garden 425g,"Tins, Jars & Packets"
فرسكا ويفر فرسكا 38ج,Biscuits & Cakes
kean tomato juice tomato of 12 Kean Pack,Soft Drinks & Juices
بويدور صوص مكرونه حاره بويدور,"Sauces, Dressings & Condiments"
الوادى الاخضر حمص حب الوادى 400جم,"Tins, Jars & Packets"
الرشيدى صلصة طماطم الرشيدى 300جم,"Tins, Jars & Packets"
برنجلز بالشطه الحاره برنجلز,Chips & Crackers
شاى ايزيس بالبابونج شاى,"Tea, Coffee & Hot Drinks"
كوكس ملح طعام يودى ناعم كوكس 700جم,Cooking Ingredients
زبده فرن زبده 1كجم,Cooking Ingredients
fanta mixed berri Fanta,Soft Drinks & Juices
علبه جاهزه كعك عجميه علبه 1كجم,Sweets & Desserts
ويندكس ملمع زجاج رشاش 500 3850 1 000 3850 ويندكس,Cleaning Supplies
ماجى شوربه كريمه الدجاج ماجى 71جم,"Tins, Jars & Packets"
california garden whole mushrooms ram Garden 400G,"Tins, Jars & Packets"
rialto rustica biscottina cheese toast rams Rustica 100g,Bakery
مياه معدنيه صغبره مياه,Water
شهد شهد,Poultry
أمريكان جاردن صلصة إيطالية لايت أمريكان 267مل,"Sauces, Dressings & Condiments"
خل تفاح توب فاليو خل 500جم,"Sauces, Dressings & Condiments"
شوكولاته سى دى ام رام 12 اوريو شوكولاته 95ج,"Chocolates, Sweets & Desserts"
فيجيتار حار فاين فودز فيجيتار,Cooking Ingredients
lion spicy cheese potato chips 42 Spicy 52g,Chips & Crackers
رويال مكرونة فرن رويال,"Rice, Pasta & Pulses"
جرين لاند موزاريلا مبشورة، رام جرين 325ج,Dairy & Eggs
givrex vine leaves Givrex 250g,Vegetables & Fruits
كوكاكولا مصر كوكاكولا,Soft Drinks & Juices
زيت كريستال 800 30 1 30 زيت,Cooking Ingredients
sugary fruits jelly candy m Sugary 575g,"Chocolates, Sweets & Desserts"
مفروم بقرى مفروم,Beef & Processed Meat
رويال ينسون رويال,"Tea, Coffee & Hot Drinks"
فول ساده فول علبة,"Tins, Jars & Packets"
lindt cooking choco extra f Cooking 200G,"Chocolates, Sweets & Desserts"
علبه بسكويت ك علبه,Biscuits & Cakes
شويبس كانز شويبس,Soft Drinks & Juices
heinz mayonnaise light Heinz 310g,"Sauces, Dressings & Condiments"
metco alexandrian liver m Metco 400g,Beef & Processed Meat
ماجى خلطة البرجر ماجى 40ج,Cooking Ingredients
صوص بيج نيستى صوص,"Sauces, Dressings & Condiments"
أوراق الزعتر أوراق,Vegetables & Fruits
ريتر سبورت شوكولاتة بالكراميل ريتر 100جم,"Chocolates, Sweets & Desserts"
زجاجه رمان شويبس زجاجه,Soft Drinks & Juices
بلذن ذو دببة ونحل رام بلذن 100ج,Biscuits & Cakes
الملكه مكرونه فرن الملكه 400جم,"Rice, Pasta & Pulses"
baladi beef tenderloin Beef 500g,Beef & Processed Meat
ارز المطبخ 5كيلو ارز,"Rice, Pasta & Pulses"
الملكة مكرونة الملكة 400جم,"Rice, Pasta & Pulses"
تونة كاليفورنيا جاردن الباكور بزيت دوار الشمس رام تونة 185ج,"Tins, Jars & Packets"
نستلة كابتشينو كراميل رام نستلة 17ج,"Tea, Coffee & Hot Drinks"
بسمة بامية زيرو بسمة 400جم,Vegetables & Fruits
شراب شعير اناناس شويبس شراب 250مل,Soft Drinks & Juices
500 مياة 1 5.00,Water
تونة ريو ماري في زيت زيتون تونة 160جم,"Tins, Jars & Packets"
italiano pasta penne 2e1 Pasta 400G,"Rice, Pasta & Pulses"
hot ketchup squeeze Hot 500g,"Sauces, Dressings & Condiments"
مراعى لانشون لحمه مراعى,Beef & Processed Meat
بسكويت نشادر هايبروان بسكويت,Bakery
safi water Safi 660ml,Water
ميجو لوفه حمام كف ميجو,Cleaning Supplies
صدور دجاج بالعظم تمرى فريش صدور,Poultry
تست سلامى جاف وزن تست,Beef & Processed Meat
صن شاين بطاطس صن 2.5كجم,Vegetables & Fruits
مياة شرب طبيعية من نستله مياة 600مل عبوة,Water
coco lovers hazelnut wafer Coco,Biscuits & Cakes
بخيره حليب كامل الدسم بخيره 1لتر كيس,Dairy & Eggs
دوبيلا ملح هيمالايا ناعم دوبيلا 650جم,Cooking Ingredients
مولتو ميكس كريمة وفراولة مولتو,Bakery
نسكافيه جولد كابوتشينو كرامل نسكافيه 17جم,"Tea, Coffee & Hot Drinks"
جهينه عنب احمر 235م جهينه,Soft Drinks & Juices
عصير ياهووه مانجو عصير 250مل,Soft Drinks & Juices
heinz chilyampgril sauce Heinz 300g,"Sauces, Dressings & Condiments"
herbal vinegar Vinegar 250ml,"Sauces, Dressings & Condiments"
جبنة رومي قديمة خصم 1231 جبنة,Dairy & Eggs
مايونيز هاينز كلاسيك عرض مايونيز,"Sauces, Dressings & Condiments"
1156 فلفل اصفر 11.56,Vegetables & Fruits
كفته مشوى وسط كفته,Beef & Processed Meat
ماج زجاج نوفو كبير اوشن ماج,Furniture
طحينة توب فاليو طحينة 600جم,"Sauces, Dressings & Condiments"
مج برطمان زجاج مج,Furniture
زجاجه زيت زيتون بلاستيك زجاجه 1لتر,Cooking Ingredients
نستله مياه 20 زجاجه نستله 600مل,Water
astonish germ clear disinfectant Astonish 1L,Cleaning Supplies
بسكويت كيت كات برومو بسكويت,Biscuits & Cakes
علبه فول محوج كبيره علبه,"Tins, Jars & Packets"
tiger family seasoned cheese chips 51 Tiger 55g,Chips & Crackers
جراند قهوة كلاسيك رام جراند 100ج,"Tea, Coffee & Hot Drinks"
al watania fried chicken wings Watania 750G,Poultry
توب شيف رقاق طرى توب,Bakery
ليبتون شاي أخضر نقي بدون مرارة ليبتون كيس,"Tea, Coffee & Hot Drinks"
عصير برتقال بالجزر فروت عصير 250مل,Soft Drinks & Juices
rosemary italy Rosemary,Vegetables & Fruits
الامارات مكرونة بيني ريجاتى رام الامارات 400ج,"Rice, Pasta & Pulses"
اولكر بسكويت بالتمر اولكر,Biscuits & Cakes
classic powder dishwasher detergent Powder 1Kg,Cleaning Supplies
سادور صلصه صفيح سادور 400جم,"Tins, Jars & Packets"
sprite 1 free Sprite 1L,Soft Drinks & Juices
مزارع دينا لبن بالبلح مزارع 850مل,Dairy & Eggs
atyab hot crispy chicken Atyab 2kg,Poultry
كانز بيبسى كانز,Soft Drinks & Juices
ويفر بكريمة البندق لواكر ويفر 45جم,Biscuits & Cakes
بيبسى كانز جيب شيل الحلو بيبسى,Soft Drinks & Juices
بونجورنو كوفى ميكس بندق بونجورنو 12جم,"Tea, Coffee & Hot Drinks"
كوكيز الفاكهة 10 قطع كوكيز,Biscuits & Cakes
شنطه برتقال فالنسيا متنوعه 3ك شنطه,Vegetables & Fruits
بسكويت ماكفيتيز بيسكريم دوو محشو بكريمة الكاكاو من 12 بسكويت 105جم عبوة,Biscuits & Cakes
سن توب عصير اناناس سن 250جم,Soft Drinks & Juices
نسكافيه 31 كراميل ظرف نسكافيه,"Tea, Coffee & Hot Drinks"
فينو او سن فينو كيس,Bakery
زبده صفراء نيوزيلاندى زبده,Cooking Ingredients
nestle pure life bottled drinking water 12 x itre Pure 1.5L,Water
elmatbakh egyption rice Egyption 1kg,"Rice, Pasta & Pulses"
بسكويت مينى مارى بسكويت 180جم,Biscuits & Cakes
مافا بطاطس علبه مافا 1كجم,Vegetables & Fruits
hyperone menen plain by weight Hyperone,Bakery
schweppes glass Schweppes 330ml,Soft Drinks & Juices
نسكافيه جولد 3 في 1 قهوة فورية رام نسكافيه 21ج عبوة,"Tea, Coffee & Hot Drinks"
وش فخذه كندوز بالوزن وش,Beef & Processed Meat
ثرى شفس دبوس دجاج مقلى عادى ثرى 700جم,Poultry
بريد واي توست حلي بريد,Bakery
شيبسى شيتوس 73 شيبسى 83جم,Chips & Crackers
danette 4 save 2 egp Danette,Dairy & Eggs
ايس كريم زبادى خوخ هيلثى ميلك 3 كيلو ايس,"Chocolates, Sweets & Desserts"
دانون زبادي طبيعي 315 هديه دانون 105جم,Dairy & Eggs
تيفاني بوريون بسكويت تيفاني,Biscuits & Cakes
sunshine frozen green beans ram Sunshine 400G,Vegetables & Fruits
almarai beef frankfurter 25 count Beef,Beef & Processed Meat
بانيه 2 جم 400 كوكي دويتو ناجيتس 20pc بانيه,Poultry
خلطه الحواوشى خلطه 40جم,Cooking Ingredients
اليساعه ارز مصري 5 اليساعه,"Rice, Pasta & Pulses"
كانز بيبسى كانز,Soft Drinks & Juices
basak onion soup Basak 45g,"Tins, Jars & Packets"
ارز مصرى الضحى ارز 1كجم,"Rice, Pasta & Pulses"
سن توب عصير مانجو سن 250ج,Soft Drinks & Juices
ريجينا مكرونه خواتم ريجينا 400جم,"Rice, Pasta & Pulses"
كشري صغير كشري علبة,"Rice, Pasta & Pulses"
ملفوف محلي ملفوف,Vegetables & Fruits
dark chocolate bar with orange m Dark 90g,"Chocolates, Sweets & Desserts"
خلطه توابل للارز بطعم خلطه,Cooking Ingredients
schweppes types glass Schweppes 250Ml,Soft Drinks & Juices
500 125 4 ابو عوف قهوة سريعة التحضير جولد 5.00,"Tea, Coffee & Hot Drinks"
ماكفتيز بسكويت الشوفان ماكفتيز,Biscuits & Cakes
nestl paradise frozen ice cream chocolate Paradise 850ml,"Chocolates, Sweets & Desserts"
2495 2495 1 bloxs with wafer 24.95,Biscuits & Cakes
زيتون شرائح اخضر زيتون,"Tins, Jars & Packets"
بيور عصير برتقال وجزر بيور,Soft Drinks & Juices
green land processed cheddar cheese with pepper Green 1.8kg,Dairy & Eggs
gardenia vine leaves Gardenia 900g,Vegetables & Fruits
2 عيش تومه 10 20 عيش,Bakery
بطاطس بوم فريت ماما شويس25 ك بطاطس,Vegetables & Fruits
بيوتى بلندر علبه بيوتى,Furniture
3200 كوكاكولا 20 32.00,Soft Drinks & Juices
بسكويت ويفر شمعدان بسكويت,Biscuits & Cakes
ريد بول مشروب طاقه ريد,Soft Drinks & Juices
مكرونة تويست كوين مكرونة 350جم,"Rice, Pasta & Pulses"
شيتوس بافس شطة118 شيتوس 128جم,Chips & Crackers
مياه طبيعيه حياه مياه 600مل,Water
بان وسط مارغاريتا بان,Bakery
كانز كانز,Soft Drinks & Juices
دايت بيبسى كانز دايت,Soft Drinks & Juices
ملاحه كمون الضحى ملاحه 65جم,Cooking Ingredients
agnesi ditali rigati 36 pasta Agnesi 500g,"Rice, Pasta & Pulses"
جرين ليمون جرين 330مل,"Tins, Jars & Packets"
كورونا كورونا 60جم,"Chocolates, Sweets & Desserts"
3189 رومي بطارخ بالفلفل m 31.89,Dairy & Eggs
مكرونه لسان الملكه مكرونه 400جم,"Rice, Pasta & Pulses"
ديو ماونتن كانز ديو 330مل,Soft Drinks & Juices
مياه معدنية مياه,Water
5 مياه معدنية صغيرة 119 595 مياه,Water
بريزيدون جبنه فيتا 500دم بريزيدون,Dairy & Eggs
شيتوس فشار بطعم الطماطم الحارة شيتوس 72جم,Chips & Crackers
فيري منظف اطباق تفاح فيري,Cleaning Supplies
multifunctional hydraulic cleaning brush Brush,Cleaning Supplies
single chocolate bar Bar 51g,"Chocolates, Sweets & Desserts"
شويبس جولد انانس شويبس 1لتر,Soft Drinks & Juices
ماكفيتيز بسكويت دايجستف ماكفيتيز 250جم,Biscuits & Cakes
تشكن فيليه سائد قاموس ستار ساندوتش بالجبنبطاطا عادي متوسط بيبسي كانز تشكن,Bakery
صابون سائل فيبا ليموون اصفر صابون,Cleaning Supplies
بسكريم بسكويت بكرينة الكاكاو بسكريم 36ج,Biscuits & Cakes
الدره كاتشب اسطوانه بارد الدره 500ج,"Sauces, Dressings & Condiments"
توليدو تونه قطعه واحده توليدو 185جم,"Tins, Jars & Packets"
بيتى عصير جوافه بيتى 1لتر,Soft Drinks & Juices
دسانى مياه معدنيه دسانى 1.5لتر,Water
طقم توزيع 4 قطعه 33 سم بلاستيك الوان واشكال طقم,Furniture
بيبسى كانز بيبسى,Soft Drinks & Juices
كوكيز شيكولاته كوكيز 1كجم,Biscuits & Cakes
بسكريم وسط 2 علبه بسكريم,Biscuits & Cakes
molto magnum chocolate Magnum,Bakery
برافو بطاطس شيبس 62فراخ 1 500 500 برافو-,Chips & Crackers
زبادي المراعي زبادي,Dairy & Eggs
خير زمان طبق فلفل اصفر خير,Vegetables & Fruits
dasani water Dasani 600ml,Water
كبده بقرى مجمده كبده,Beef & Processed Meat
بسكو مصر معمول بالتمر من 12 بسكو عبوة,Bakery
جهينه حليب كامل الدسم جهينه 1لتر,Dairy & Eggs
نسلة مياة معدنية 200 600 1200 نسلة ١.٥لتر,Water
schweppes gold pineapple 250m Schweppes,Soft Drinks & Juices
al adham cumin powder m Adham 30g,Cooking Ingredients
picagrill natural croutons Croutons,Bakery
ulker mille feuille with hazelnut cream With 24g,Biscuits & Cakes
grandos gold decaffeinated coffee Grandos 100g,"Tea, Coffee & Hot Drinks"
صوص باربيكيو هيكوري أمريكان جاردين صوص 510مل,"Sauces, Dressings & Condiments"
كلوركس الوان مبيض متعدد ١ كلوركس ٩٥٠مل,Cleaning Supplies
هاينز كاتشب هاينز 285جم كيس,"Sauces, Dressings & Condiments"
مسطردة أمريكان جاردن مسطردة 340جم,"Sauces, Dressings & Condiments"
كوكاكولا حجم عادي كوكاكولا,Soft Drinks & Juices
امريكانا فول مدمس ساده امريكانا 400جم,"Tins, Jars & Packets"
بانية برجر دجاج حار أطياب بانية,Poultry
puvana natural water Puvana 18.9L,Water
ريجينا شعريه ريجينا,"Rice, Pasta & Pulses"
الشمعدان بسكويت ويفر اصفر 12 باكو علبه الشمعدان,Biscuits & Cakes
جلاكسى بندق رام جلاكسى 36ج,"Chocolates, Sweets & Desserts"
بصل اصفر بصل,Vegetables & Fruits
كاتشب طماطم حار كاتشب 900جم,"Sauces, Dressings & Condiments"
twinings pure green tea Twinings,"Tea, Coffee & Hot Drinks"
nutella bready choco bar B-Ready,"Chocolates, Sweets & Desserts"
الشمعدان كتاكيتو شوكولاتة، 5 قطع الشمعدان,Biscuits & Cakes
deli sun mini tortillas Sun 250g,Bakery
حليب بودرة ميرو ميكس بالفانيليا والبسكويت، حليب 30جم عبوة,Dairy & Eggs
5حم 5حم 5كجم,Cooking Ingredients
imtenan cough relief herbal tea bags 18 count Imtenan,"Tea, Coffee & Hot Drinks"
زيت زيتون بومس اسبانى زيت 2لتر,Cooking Ingredients
النسر للبلاستيك رول اكياس قمامه النسر,Disposables & Napkins
safi water 330m Safi,Water
مصريه مكرونه مرمريه مصريه,"Rice, Pasta & Pulses"
مرقه دجاج كنور مرقه,Cooking Ingredients
كرست كبير عشاق الجبنة كرست,Bakery
gimoka intenso 9 espresso coffee capsules 10 capsules Gimoka,"Tea, Coffee & Hot Drinks"
بيك رولز بالزبدة والتوابل بيك,Chips & Crackers
yamama soy sauce Yamama 500ml,"Sauces, Dressings & Condiments"
الملكه مكرونه خواتم الملكه 400جم,"Rice, Pasta & Pulses"
بطاطس فراخ تايحر بطاطس 29جم,Chips & Crackers
عيش بدر لبناني عيش,Bakery
نوش بطاطس هاملي بملح البحر نوش,Chips & Crackers
بيبسي بيبسي,Soft Drinks & Juices
غندور بسكوت غندور,Biscuits & Cakes
ahmad tea english no 1 Ahmad,"Tea, Coffee & Hot Drinks"
هاينز كاتشب ظرف عرض سعر هاينز 285جم,"Sauces, Dressings & Condiments"
روابى سمن نباتى 15كيلو روابى,Cooking Ingredients
